*lumiCalc2.py -i Cert_8TeV_Run2012ABCD_Golden_JSON.txt overview >& Cert_8TeV_Run2012ABCD_Golden_JSON.log
********************************************************************************
* Wed Feb  6 14:51:04 2013 UTC
* lumitype: HF , datatag: v10 , normtag: HFV2c , worktag: V04-01-09
* 
* by:
* /afs/cern.ch/work/y/youngjo/8TeV/v3/CMGTools/CMSSW_5_3_3_patch3/bin/slc5_amd64_gcc462/lumiCalc2.py
* 
* update: V04-02-01
********************************************************************************
 ==  = 
|    Run:Fill | Delivered LS |     Delivered |          Selected LS |      Recorded |
-------------------------------------------------------------------------------------
| 190645:2486 |          101 | 630.175 (/nb) |             [10-110] | 550.840 (/nb) |
| 190646:2486 |          111 | 643.451 (/nb) |              [1-111] | 560.238 (/nb) |
| 190659:2488 |          135 |   2.214 (/pb) |             [33-167] |   2.173 (/pb) |
| 190679:2489 |           55 | 882.344 (/nb) |               [1-55] | 816.975 (/nb) |
| 190688:2490 |          181 |   4.432 (/pb) |             [69-249] |   4.197 (/pb) |
| 190702:2491 |          117 |   6.323 (/pb) |   [51-53], [55-122], |   5.541 (/pb) |
|             |              |               |            [124-169] |               |
| 190703:2491 |          252 |  12.229 (/pb) |              [1-252] |  11.456 (/pb) |
| 190704:2491 |            3 | 135.182 (/nb) |                [1-3] |  28.861 (/nb) |
| 190705:2491 |          364 |  14.706 (/pb) |       [1-5], [7-65], |  14.278 (/pb) |
|             |              |               | [81-336], [338-350], |               |
|             |              |               |            [353-383] |               |
| 190706:2491 |          126 |   4.403 (/pb) |              [1-126] |   4.222 (/pb) |
| 190707:2491 |          256 |   8.124 (/pb) |   [1-237], [239-257] |   7.871 (/pb) |
| 190708:2491 |          189 |   5.284 (/pb) |              [1-189] |   5.113 (/pb) |
| 190733:2493 |          386 |  19.654 (/pb) |   [71-96], [99-389], |  19.132 (/pb) |
|             |              |               |            [392-460] |               |
| 190736:2493 |          183 |   7.935 (/pb) |     [1-80], [83-185] |   7.629 (/pb) |
| 190738:2493 |          351 |  13.114 (/pb) |  [1-130], [133-226], |  12.836 (/pb) |
|             |              |               |            [229-355] |               |
| 190782:2497 |          350 |  19.128 (/pb) | [55-181], [184-233], |  18.732 (/pb) |
|             |              |               | [236-399], [401-409] |               |
| 190895:2500 |          874 |  36.920 (/pb) | [64-202], [210-302], |  36.313 (/pb) |
|             |              |               | [305-584], [587-948] |               |
| 190906:2501 |          421 |  20.026 (/pb) | [73-256], [259-354], |  19.663 (/pb) |
|             |              |               |            [356-496] |               |
| 190945:2505 |           84 |   4.466 (/pb) |            [124-207] |   4.309 (/pb) |
| 190949:2505 |           81 |   3.388 (/pb) |               [1-81] |   3.120 (/pb) |
| 191043:2508 |            3 | 210.807 (/nb) |              [45-47] |  60.751 (/nb) |
| 191046:2508 |          228 |  14.533 (/pb) |     [1-21], [24-82], |  13.602 (/pb) |
|             |              |               |   [84-88], [92-116], |               |
|             |              |               |           [119-180], |               |
|             |              |               | [183-183], [185-239] |               |
| 191056:2508 |           10 | 588.708 (/nb) |        [1-1], [4-9], | 259.775 (/nb) |
|             |              |               |     [16-17], [19-19] |               |
| 191057:2508 |           61 |   3.495 (/pb) |       [1-1], [4-55], |   3.356 (/pb) |
|             |              |               |              [58-65] |               |
| 191062:2508 |          546 |  26.657 (/pb) |        [1-1], [3-3], |  26.259 (/pb) |
|             |              |               |   [5-214], [216-549] |               |
| 191090:2509 |           55 |   2.005 (/pb) |               [1-55] |   1.814 (/pb) |
| 191201:2511 |           40 |   3.479 (/pb) |     [38-49], [52-79] |   3.346 (/pb) |
| 191202:2511 |           97 |   7.597 (/pb) |     [1-64], [66-68], |   7.081 (/pb) |
|             |              |               |  [87-105], [108-118] |               |
| 191226:2513 |         1602 |  95.065 (/pb) |   [77-78], [81-831], |  93.581 (/pb) |
|             |              |               |          [833-1454], |               |
|             |              |               |         [1456-1466], |               |
|             |              |               |         [1469-1507], |               |
|             |              |               |          [1510-1686] |               |
| 191247:2514 |         1204 |  72.148 (/pb) |  [1-153], [156-280], |  70.347 (/pb) |
|             |              |               |           [283-606], |               |
|             |              |               |           [608-620], |               |
|             |              |               |           [622-818], |               |
|             |              |               |           [821-834], |               |
|             |              |               |          [837-1031], |               |
|             |              |               |         [1034-1046], |               |
|             |              |               |         [1049-1140], |               |
|             |              |               |         [1143-1187], |               |
|             |              |               |         [1190-1214], |               |
|             |              |               |          [1217-1224] |               |
| 191248:2514 |          103 |   4.566 (/pb) |              [1-103] |   4.405 (/pb) |
| 191264:2515 |          127 |  11.525 (/pb) |   [59-79], [82-152], |  11.261 (/pb) |
|             |              |               |            [155-189] |               |
| 191271:2516 |          307 |  26.818 (/pb) |  [56-223], [225-363] |  26.457 (/pb) |
| 191276:2516 |           16 |   1.240 (/pb) |               [1-16] | 937.856 (/nb) |
| 191277:2516 |          837 |  54.491 (/pb) |    [1-28], [30-164], |  53.307 (/pb) |
|             |              |               |           [167-253], |               |
|             |              |               |           [255-457], |               |
|             |              |               |           [460-535], |               |
|             |              |               |           [537-576], |               |
|             |              |               |           [579-775], |               |
|             |              |               | [778-811], [813-849] |               |
| 191367:2520 |            2 | 994.268 (/ub) |                [1-2] | 984.249 (/ub) |
| 191411:2523 |           23 |   1.218 (/nb) |               [1-23] |   1.195 (/nb) |
| 191695:2533 |            1 | 106.693 (/nb) |                [1-1] |  13.045 (/nb) |
| 191718:2534 |          163 |  16.914 (/pb) |    [43-95], [98-207] |  16.667 (/pb) |
| 191720:2534 |          179 |  13.899 (/pb) |       [1-1], [3-15], |  12.535 (/pb) |
|             |              |               |             [17-181] |               |
| 191721:2534 |          185 |  10.682 (/pb) |       [1-1], [3-34], |  10.467 (/pb) |
|             |              |               |  [36-183], [186-189] |               |
| 191726:2534 |           13 | 619.707 (/nb) |               [1-13] | 512.454 (/nb) |
| 191810:2535 |           70 |   7.884 (/pb) |    [15-15], [22-49], |   7.698 (/pb) |
|             |              |               |              [52-92] |               |
| 191830:2536 |          336 |  38.475 (/pb) | [54-242], [245-301], |  37.533 (/pb) |
|             |              |               |            [304-393] |               |
| 191833:2536 |          102 |   9.914 (/pb) |       [1-1], [3-103] |   9.527 (/pb) |
| 191834:2536 |          346 |  30.174 (/pb) |     [1-30], [33-74], |  29.531 (/pb) |
|             |              |               |  [77-299], [302-352] |               |
| 191837:2536 |           61 |   4.781 (/pb) |     [1-44], [47-53], |   4.433 (/pb) |
|             |              |               |              [56-65] |               |
| 191856:2536 |          133 |   9.046 (/pb) |              [1-133] |   8.630 (/pb) |
| 191859:2536 |          124 |   7.590 (/pb) |     [1-28], [31-126] |   7.374 (/pb) |
| 193093:2576 |           33 |  87.506 (/nb) |               [1-33] |  73.804 (/nb) |
| 193123:2580 |           27 | 557.128 (/nb) |               [1-27] | 543.352 (/nb) |
| 193124:2580 |           52 |   1.049 (/pb) |               [1-52] |   1.040 (/pb) |
| 193192:2583 |           29 |   1.738 (/pb) |              [58-86] |   1.702 (/pb) |
| 193193:2583 |          497 |  24.352 (/pb) |        [1-6], [8-8], |  23.814 (/pb) |
|             |              |               |   [11-83], [86-120], |               |
|             |              |               |           [122-160], |               |
|             |              |               |           [162-274], |               |
|             |              |               | [276-495], [497-506] |               |
| 193207:2584 |          129 |   6.855 (/pb) |             [54-182] |   6.768 (/pb) |
| 193334:2587 |          144 |   9.041 (/pb) |             [29-172] |   8.916 (/pb) |
| 193336:2587 |          943 |  43.513 (/pb) |  [1-264], [267-492], |  43.134 (/pb) |
|             |              |               |           [495-684], |               |
|             |              |               | [687-729], [732-951] |               |
| 193541:2590 |          538 |  27.153 (/pb) | [77-101], [103-413], |  26.573 (/pb) |
|             |              |               | [416-575], [578-619] |               |
| 193556:2591 |           43 |   3.305 (/pb) |              [41-83] |   3.219 (/pb) |
| 193557:2591 |           84 |   5.645 (/pb) |               [1-84] |   5.582 (/pb) |
| 193575:2593 |          698 |  40.618 (/pb) | [48-173], [176-349], |  40.029 (/pb) |
|             |              |               |           [351-394], |               |
|             |              |               |           [397-415], |               |
|             |              |               | [417-658], [660-752] |               |
| 193621:2596 |         1584 |  90.722 (/pb) | [60-570], [573-769], |  89.676 (/pb) |
|             |              |               |           [772-976], |               |
|             |              |               |          [979-1053], |               |
|             |              |               |         [1056-1137], |               |
|             |              |               |         [1139-1193], |               |
|             |              |               |         [1195-1371], |               |
|             |              |               |          [1373-1654] |               |
| 193834:2605 |           35 | 997.219 (/nb) |               [1-35] | 988.083 (/nb) |
| 193835:2605 |           25 | 692.964 (/nb) |      [1-20], [22-26] | 648.534 (/nb) |
| 193836:2605 |            2 |  54.625 (/nb) |                [1-2] |  53.583 (/nb) |
| 193998:2616 |          212 |  19.476 (/pb) |  [66-113], [115-278] |  19.189 (/pb) |
| 193999:2616 |           50 |   3.644 (/pb) |               [1-50] |   3.611 (/pb) |
| 194027:2617 |           63 |   5.587 (/pb) |             [53-115] |   5.497 (/pb) |
| 194050:2621 |         1801 | 112.059 (/pb) | [53-113], [116-273], | 110.383 (/pb) |
|             |              |               |           [275-355], |               |
|             |              |               |           [357-369], |               |
|             |              |               |           [372-391], |               |
|             |              |               |           [394-490], |               |
|             |              |               |           [492-814], |               |
|             |              |               |          [816-1435], |               |
|             |              |               |         [1437-1735], |               |
|             |              |               |          [1760-1888] |               |
| 194051:2621 |           12 | 500.655 (/nb) |               [1-12] | 489.243 (/nb) |
| 194052:2621 |          164 |   6.637 (/pb) |    [1-99], [102-166] |   6.583 (/pb) |
| 194075:2623 |           63 |   5.900 (/pb) |  [48-101], [103-111] |   4.911 (/pb) |
| 194076:2623 |          734 |  54.602 (/pb) |      [1-9], [11-55], |  54.115 (/pb) |
|             |              |               | [58-163], [165-228], |               |
|             |              |               |           [230-264], |               |
|             |              |               |           [267-507], |               |
|             |              |               |           [509-527], |               |
|             |              |               |           [530-538], |               |
|             |              |               | [541-562], [565-748] |               |
| 194108:2624 |          781 |  62.452 (/pb) | [81-161], [164-264], |  61.658 (/pb) |
|             |              |               |           [266-373], |               |
|             |              |               |           [376-396], |               |
|             |              |               |           [398-433], |               |
|             |              |               |           [436-452], |               |
|             |              |               |           [454-577], |               |
|             |              |               |           [579-590], |               |
|             |              |               | [593-668], [671-875] |               |
| 194115:2627 |          700 |  55.059 (/pb) | [66-184], [186-338], |  53.348 (/pb) |
|             |              |               |           [340-346], |               |
|             |              |               |           [348-493], |               |
|             |              |               | [496-731], [819-857] |               |
| 194117:2627 |           38 |   2.317 (/pb) |               [1-38] |   2.277 (/pb) |
| 194119:2627 |          259 |  14.799 (/pb) |   [1-229], [232-261] |  14.694 (/pb) |
| 194120:2627 |          404 |  19.396 (/pb) |   [1-162], [165-406] |  19.263 (/pb) |
| 194150:2628 |          267 |  27.077 (/pb) | [42-127], [129-261], |  26.673 (/pb) |
|             |              |               |            [264-311] |               |
| 194151:2628 |          574 |  41.588 (/pb) |   [47-72], [75-191], |  40.788 (/pb) |
|             |              |               |           [193-238], |               |
|             |              |               |           [240-619], |               |
|             |              |               | [621-624], [627-627] |               |
| 194153:2628 |          119 |   7.076 (/pb) |              [1-119] |   6.994 (/pb) |
| 194199:2629 |          308 |  27.633 (/pb) | [92-227], [229-336], |  27.230 (/pb) |
|             |              |               |            [339-402] |               |
| 194210:2629 |          548 |  39.251 (/pb) |  [3-195], [198-217], |  38.925 (/pb) |
|             |              |               | [220-359], [361-555] |               |
| 194223:2630 |           52 |   6.452 (/pb) |             [61-112] |   6.160 (/pb) |
| 194224:2630 |          403 |  42.862 (/pb) |  [1-126], [129-206], |  42.185 (/pb) |
|             |              |               |           [208-250], |               |
|             |              |               |           [253-309], |               |
|             |              |               | [312-386], [389-412] |               |
| 194225:2630 |          153 |  12.869 (/pb) |     [1-23], [26-47], |  12.740 (/pb) |
|             |              |               |   [49-85], [88-156], |               |
|             |              |               |            [177-178] |               |
| 194270:2632 |           18 |   1.451 (/pb) |              [56-73] |   1.429 (/pb) |
| 194303:2634 |           45 |   5.276 (/pb) |    [56-66], [69-102] |   5.055 (/pb) |
| 194304:2634 |           44 |   4.938 (/pb) |      [1-43], [46-46] |   4.798 (/pb) |
| 194305:2634 |           86 |   8.765 (/pb) |               [1-86] |   8.578 (/pb) |
| 194314:2635 |          248 |  28.837 (/pb) |  [52-130], [133-301] |  28.129 (/pb) |
| 194315:2635 |          459 |  42.206 (/pb) |    [1-10], [13-314], |  41.675 (/pb) |
|             |              |               |           [317-428], |               |
|             |              |               | [431-452], [455-467] |               |
| 194317:2635 |           33 |   1.543 (/pb) |               [1-33] |   1.466 (/pb) |
| 194424:2644 |          633 |  68.005 (/pb) | [63-141], [144-195], |  66.676 (/pb) |
|             |              |               |           [198-266], |               |
|             |              |               |           [268-421], |               |
|             |              |               |           [424-478], |               |
|             |              |               |           [481-531], |               |
|             |              |               | [534-553], [556-708] |               |
| 194428:2644 |          461 |  36.325 (/pb) |    [1-85], [87-122], |  35.990 (/pb) |
|             |              |               | [125-294], [296-465] |               |
| 194429:2644 |         1013 |  56.617 (/pb) |       [1-4], [7-54], |  56.208 (/pb) |
|             |              |               | [57-147], [150-411], |               |
|             |              |               |           [413-742], |               |
|             |              |               |           [745-986], |               |
|             |              |               |           [988-1023] |               |
| 194439:2645 |           60 |   8.126 (/pb) |    [46-77], [79-106] |   7.777 (/pb) |
| 194455:2646 |          219 |  27.802 (/pb) |   [45-64], [67-140], |  27.078 (/pb) |
|             |              |               | [142-255], [293-303] |               |
| 194464:2646 |          206 |  22.252 (/pb) |  [1-127], [130-142], |  21.855 (/pb) |
|             |              |               |            [145-210] |               |
| 194479:2646 |          435 |  37.142 (/pb) |   [1-44], [165-232], |  36.722 (/pb) |
|             |              |               |           [235-262], |               |
|             |              |               |           [265-374], |               |
|             |              |               |           [377-431], |               |
|             |              |               |           [434-489], |               |
|             |              |               | [492-529], [531-566] |               |
| 194480:2646 |         1386 |  81.627 (/pb) |      [1-8], [17-32], |  81.030 (/pb) |
|             |              |               | [34-205], [207-375], |               |
|             |              |               |           [377-387], |               |
|             |              |               |           [389-759], |               |
|             |              |               |           [762-956], |               |
|             |              |               |           [959-1402] |               |
| 194533:2648 |          823 |  77.582 (/pb) | [46-379], [382-415], |  76.617 (/pb) |
|             |              |               | [417-618], [620-872] |               |
| 194619:2649 |           80 |  10.158 (/pb) |             [31-110] |   9.917 (/pb) |
| 194631:2649 |          219 |  24.575 (/pb) |    [1-42], [44-100], |  23.745 (/pb) |
|             |              |               | [102-169], [171-222] |               |
| 194643:2649 |          287 |  27.919 (/pb) |              [1-287] |  27.444 (/pb) |
| 194644:2649 |          418 |  33.507 (/pb) |  [1-168], [171-181], |  33.220 (/pb) |
|             |              |               |           [184-185], |               |
|             |              |               | [187-319], [321-424] |               |
| 194691:2651 |          241 |  29.041 (/pb) | [61-104], [107-155], |  28.160 (/pb) |
|             |              |               |           [158-251], |               |
|             |              |               |           [254-268], |               |
|             |              |               |           [271-272], |               |
|             |              |               | [275-289], [292-313] |               |
| 194699:2651 |          247 |  22.887 (/pb) |     [1-30], [32-52], |  22.557 (/pb) |
|             |              |               |    [55-64], [67-71], |               |
|             |              |               | [73-154], [157-215], |               |
|             |              |               | [218-238], [241-259] |               |
| 194702:2651 |          189 |  15.689 (/pb) |   [1-138], [141-191] |  15.526 (/pb) |
| 194704:2651 |          588 |  41.252 (/pb) |    [1-41], [44-545], |  40.878 (/pb) |
|             |              |               |            [548-592] |               |
| 194711:2651 |          618 |  34.468 (/pb) |       [1-7], [9-619] |  34.175 (/pb) |
| 194712:2651 |          753 |  34.068 (/pb) |    [1-56], [61-418], |  33.840 (/pb) |
|             |              |               | [420-625], [627-759] |               |
| 194735:2653 |           87 |  10.235 (/pb) |   [44-71], [74-101], |   9.927 (/pb) |
|             |              |               | [104-130], [133-136] |               |
| 194778:2657 |          159 |  19.470 (/pb) |  [60-118], [120-219] |  18.835 (/pb) |
| 194789:2657 |          552 |  52.739 (/pb) |     [1-18], [21-32], |  52.083 (/pb) |
|             |              |               |   [34-80], [82-166], |               |
|             |              |               |           [168-269], |               |
|             |              |               |           [272-405], |               |
|             |              |               |           [409-414], |               |
|             |              |               | [417-427], [430-566] |               |
| 194790:2657 |           45 |   3.624 (/pb) |               [1-45] |   3.539 (/pb) |
| 194825:2658 |          148 |  19.406 (/pb) |  [72-117], [120-221] |  18.743 (/pb) |
| 194896:2660 |           66 |   9.019 (/pb) |    [34-55], [58-79], |   8.554 (/pb) |
|             |              |               |             [82-103] |               |
| 194897:2660 |          105 |  12.753 (/pb) |       [1-6], [8-78], |  12.300 (/pb) |
|             |              |               |             [80-107] |               |
| 194912:2663 |         1580 | 155.206 (/pb) |    [53-70], [72-96], | 151.954 (/pb) |
|             |              |               | [98-444], [446-450], |               |
|             |              |               |           [453-467], |               |
|             |              |               |           [470-561], |               |
|             |              |               |           [564-660], |               |
|             |              |               |           [663-813], |               |
|             |              |               |           [815-840], |               |
|             |              |               |           [843-864], |               |
|             |              |               |          [866-1004], |               |
|             |              |               |         [1007-1025], |               |
|             |              |               |         [1027-1067], |               |
|             |              |               |         [1069-1137], |               |
|             |              |               |         [1140-1166], |               |
|             |              |               |         [1168-1249], |               |
|             |              |               |         [1251-1304], |               |
|             |              |               |         [1307-1444], |               |
|             |              |               |         [1447-1487], |               |
|             |              |               |         [1489-1503], |               |
|             |              |               |          [1506-1662] |               |
| 194914:2663 |           38 |   2.475 (/pb) |               [1-38] |   2.439 (/pb) |
| 194915:2663 |           74 |   4.665 (/pb) |               [1-74] |   4.624 (/pb) |
| 195013:2669 |          437 |  56.397 (/pb) | [94-144], [146-185], |  54.760 (/pb) |
|             |              |               |           [187-206], |               |
|             |              |               |           [208-299], |               |
|             |              |               |           [302-324], |               |
|             |              |               |           [326-366], |               |
|             |              |               |           [369-447], |               |
|             |              |               | [450-526], [528-541] |               |
| 195014:2669 |          145 |  15.551 (/pb) |      [1-6], [9-119], |  15.378 (/pb) |
|             |              |               |            [121-148] |               |
| 195015:2669 |           13 |   1.321 (/pb) |               [1-13] |   1.200 (/pb) |
| 195016:2669 |          552 |  48.739 (/pb) |     [1-21], [23-55], |  48.230 (/pb) |
|             |              |               |   [58-63], [65-174], |               |
|             |              |               |           [177-184], |               |
|             |              |               |           [186-241], |               |
|             |              |               |           [243-246], |               |
|             |              |               |           [248-251], |               |
|             |              |               |           [254-367], |               |
|             |              |               |           [370-422], |               |
|             |              |               | [425-560], [563-569] |               |
| 195099:2670 |          188 |  24.558 (/pb) | [70-144], [147-186], |  23.785 (/pb) |
|             |              |               |           [189-208], |               |
|             |              |               | [211-224], [227-265] |               |
| 195109:2671 |          144 |  20.244 (/pb) |             [98-241] |  19.598 (/pb) |
| 195112:2671 |           24 |   2.863 (/pb) |      [1-12], [15-26] |   2.452 (/pb) |
| 195113:2671 |          569 |  58.095 (/pb) |  [1-209], [212-388], |  57.164 (/pb) |
|             |              |               |           [391-403], |               |
|             |              |               |           [406-419], |               |
|             |              |               | [422-492], [495-579] |               |
| 195114:2671 |          101 |   8.712 (/pb) |     [1-69], [72-103] |   8.558 (/pb) |
| 195115:2671 |           34 |   1.624 (/pb) |       [1-7], [10-36] |   1.605 (/pb) |
| 195147:2673 |          419 |  53.718 (/pb) |           [132-282], |  52.412 (/pb) |
|             |              |               |           [285-294], |               |
|             |              |               |           [297-331], |               |
|             |              |               |           [334-363], |               |
|             |              |               |           [366-442], |               |
|             |              |               | [445-536], [539-562] |               |
| 195163:2675 |          269 |  37.023 (/pb) | [72-138], [140-224], |  35.769 (/pb) |
|             |              |               |           [227-240], |               |
|             |              |               | [243-243], [246-347] |               |
| 195164:2675 |           64 |   7.955 (/pb) |               [1-64] |   7.781 (/pb) |
| 195165:2675 |          268 |  28.922 (/pb) |       [1-4], [7-41], |  28.435 (/pb) |
|             |              |               |   [44-54], [56-153], |               |
|             |              |               | [156-260], [263-277] |               |
| 195251:2683 |          243 |  31.400 (/pb) |  [1-131], [134-137], |  30.544 (/pb) |
|             |              |               |           [140-152], |               |
|             |              |               | [154-165], [167-249] |               |
| 195303:2686 |          295 |  39.386 (/pb) |           [109-191], |  37.829 (/pb) |
|             |              |               |           [194-277], |               |
|             |              |               |           [280-310], |               |
|             |              |               | [312-316], [318-409] |               |
| 195304:2686 |         1206 | 108.825 (/pb) |       [1-3], [6-22], | 107.741 (/pb) |
|             |              |               |   [27-80], [83-100], |               |
|             |              |               |           [103-154], |               |
|             |              |               |           [157-341], |               |
|             |              |               |           [344-588], |               |
|             |              |               |           [590-727], |               |
|             |              |               |          [729-1003], |               |
|             |              |               |         [1006-1079], |               |
|             |              |               |         [1083-1140], |               |
|             |              |               |          [1143-1229] |               |
| 195378:2691 |         1029 | 100.813 (/pb) | [90-117], [120-127], |  99.614 (/pb) |
|             |              |               |           [130-185], |               |
|             |              |               |           [187-204], |               |
|             |              |               |           [206-302], |               |
|             |              |               |           [305-542], |               |
|             |              |               |           [544-565], |               |
|             |              |               |           [567-645], |               |
|             |              |               |           [647-701], |               |
|             |              |               |           [703-734], |               |
|             |              |               |          [737-1120], |               |
|             |              |               |          [1122-1133] |               |
| 195390:2691 |          399 |  20.276 (/pb) |       [1-1], [4-27], |  20.152 (/pb) |
|             |              |               | [30-145], [147-183], |               |
|             |              |               |           [186-187], |               |
|             |              |               |           [190-208], |               |
|             |              |               | [210-213], [215-410] |               |
| 195396:2692 |           79 |  11.207 (/pb) |    [49-55], [58-63], |  10.676 (/pb) |
|             |              |               |             [66-131] |               |
| 195397:2692 |         1188 | 118.735 (/pb) |     [1-10], [12-89], | 117.204 (/pb) |
|             |              |               | [92-120], [123-141], |               |
|             |              |               |           [143-251], |               |
|             |              |               |           [253-253], |               |
|             |              |               |           [256-475], |               |
|             |              |               |           [478-525], |               |
|             |              |               |           [527-608], |               |
|             |              |               |           [611-776], |               |
|             |              |               |           [779-970], |               |
|             |              |               |          [972-1121], |               |
|             |              |               |         [1123-1181], |               |
|             |              |               |         [1184-1198], |               |
|             |              |               |          [1200-1209] |               |
| 195398:2692 |         1756 |  91.466 (/pb) |  [3-137], [139-494], |  90.662 (/pb) |
|             |              |               |           [497-585], |               |
|             |              |               |           [587-817], |               |
|             |              |               |           [820-824], |               |
|             |              |               |          [827-1225], |               |
|             |              |               |         [1228-1307], |               |
