# BEGIN HISTOGRAM /REF/CMS_TOP_12_028/lepton1_pT
AidaPath=/REF/CMS_TOP_12_028/lepton1_pT
Title=Transverse momentum of leading lepton
XLabel=Leading lepton transverse momentum $p_T^{Lead.l}$ (GeV/c)
YLabel=$1/\sigma d\sigma/dp_T^{Lead.l}$ (1/GeV/c)
PolyMarker=*
ErrorBars=1
## Area: 1.000000e+00
## Num bins: 5
## xlow   xhigh     val     errminus  errplus
      20      40      0.0070883   0.0004061596
      40      70       0.014727   0.0002606679
      70     120      0.0064934   0.0001402574
     120     180       0.001207     6.5178e-05
     180     400     8.9386e-05   1.108386e-05
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028/lepton2_pT
AidaPath=/REF/CMS_TOP_12_028/lepton2_pT
Title=Transverse momentum of next leading lepton
XLabel=Next leading lepton transverse momentum $p_T^{NLead.l}$ (GeV/c)
YLabel=$1/\sigma d\sigma/dp_T^{NLead.l}$ (1/GeV/c)
PolyMarker=*
ErrorBars=1
## Area: 1.000000e+00
## Num bins: 5
## xlow   xhigh     val     errminus  errplus
      20      40       0.029866   0.0008332614
      40      70       0.010879   0.0003687981
      70     120       0.001332    6.38028e-05
     120     180     0.00014033   1.641861e-05
     180     400     5.1421e-06   1.717461e-06
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028/lepton1_eta
AidaPath=/REF/CMS_TOP_12_028/lepton1_eta
Title=Pseudorapidity of leading lepton
XLabel=Leading lepton pseudorapidity $\eta^{Lead.l}$
YLabel=$1/\sigma d\sigma/d\eta_T^{Lead.l}$
PolyMarker=*
ErrorBars=1
## Area: 1.000000e+00
## Num bins: 8
## xlow   xhigh     val     errminus  errplus
    -2.4    -1.8       0.067878    0.005579572
    -1.8    -1.2        0.15696    0.006608016
    -1.2    -0.6        0.27244    0.007165172
    -0.6       0        0.33901    0.008712557
       0     0.6        0.33945     0.00889359
     0.6     1.2           0.27       0.006723
     1.2     1.8        0.15362     0.00652885
     1.8     2.4       0.066479    0.005098939
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028/lepton2_eta
AidaPath=/REF/CMS_TOP_12_028/lepton2_eta
Title=Pseudorapidity of next leading lepton
XLabel=Next leading lepton pseudorapidity $\eta^{NLead.l}$
YLabel=$1/\sigma d\sigma/d\eta_T^{NLead.l}$
PolyMarker=*
ErrorBars=1
## Area: 1.000000e+00
## Num bins: 8
## xlow   xhigh     val     errminus  errplus
    -2.4    -1.8       0.084893    0.005764235
    -1.8    -1.2        0.17447    0.008496689
    -1.2    -0.6        0.26696     0.01161276
    -0.6       0        0.31887     0.01058648
       0     0.6        0.31449     0.01075556
     0.6     1.2          0.263      0.0111775
     1.2     1.8        0.16168    0.008358856
     1.8     2.4       0.082807    0.005821332
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028/dilepton_pT
AidaPath=/REF/CMS_TOP_12_028/dilepton_pT
XLabel=Dilepton transverse momentum (GeV/c)
YLabel=$1/\sigma d\sigma/dp_T^{\ell\ell} (1/GeV/c)$
PolyMarker=*
ErrorBars=1
## Area: 1.000000e+00
## Num bins: 8
# xlow   xhigh     val     errminus  errplus
       0      10      0.0018573   0.0001734718
      10      20      0.0046394   0.0003108398
      20      40      0.0076727   0.0003368315
      40      60       0.010597    0.000402686
      60     100      0.0097948    0.000269357
     100     150      0.0029783   0.0001730392
     150     400     0.00012116   1.136481e-05
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028/dilepton_mass
AidaPath=/REF/CMS_TOP_12_028/dilepton_mass
XLabel=Dilepton invariant mass $(GeV/c^2)$
YLabel=$1/\sigma d\sigma/dm^{\ell\ell} (1/GeV/c^2)$
PolyMarker=*
ErrorBars=1
## Area: 1.000000e+00
## Num bins: 8
## xlow   xhigh     val     errminus  errplus
      12      50      0.0041155   0.0002255294
      50      76      0.0074509    0.000273448
      76     106       0.007318   0.0002685706
     106     200      0.0034355   9.585045e-05
     200     400       0.000448    1.92192e-05
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028/bjet1_pT
AidaPath=/REF/CMS_TOP_12_028/bjet1_pT
XLabel=Leading b jet transverse momentum $p_T$ (GeV/c)
YLabel=$1/\sigma d\sigma/dp_T^{b~{Lead.b-jet}} (1/GeV/c)$
PolyMarker=*
ErrorBars=1
## Area: 1.000000e+00
## Num bins: 8
## xlow   xhigh     val     errminus  errplus
      20      85      0.0067246   0.0002488102
      85     120      0.0089079   0.0005923754
     120     180      0.0030391   0.0001859929
     180     240     0.00064355    8.10873e-05
     240     300     0.00018584   3.753968e-05
     300     400     4.7082e-05    1.41246e-05
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028/bjet2_pT
AidaPath=/REF/CMS_TOP_12_028/bjet2_pT
XLabel=Next leading b jet transverse momentum $p_T$ (GeV/c)
YLabel=$1/\sigma d\sigma/dp_T^{b~{NLead.b-jet}} (1/GeV/c)$
PolyMarker=*
ErrorBars=1
## Area: 1.000000e+00
## Num bins: 8
## xlow   xhigh     val     errminus  errplus
      20      85       0.012932   0.0004034784
      85     140      0.0023772   0.0001954058
     140     200     0.00035049   5.467644e-05
     200     270     5.4588e-05     1.3647e-05
     270     400     1.4568e-06   2.418288e-06
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028/bjet1_eta
AidaPath=/REF/CMS_TOP_12_028/bjet1_eta
XLabel=Leading b jet pseudorapidity
YLabel=$1/\sigma d\sigma/d\eta^{Lead.b-jet}$
PolyMarker=*
ErrorBars=1
## Area: 1.000000e+00
## Num bins: 8
## xlow   xhigh     val     errminus  errplus
    -2.4    -1.8       0.069071    0.007114313
    -1.8    -1.2        0.16234     0.01251641
    -1.2    -0.6        0.25271     0.01579437
    -0.6       0        0.32576     0.01742816
       0     0.6        0.31866     0.01755817
     0.6     1.2        0.27509     0.01672547
     1.2     1.8        0.15529     0.01234556
     1.8     2.4       0.071251    0.007481355
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028/bjet2_eta
AidaPath=/REF/CMS_TOP_12_028/bjet2_eta
XLabel=Next leading b jet pseudorapidity
YLabel=$1/\sigma d\sigma/d\eta^{NLead.b-jet}$
PolyMarker=*
